25	OPEN
24	OPEN
23	OPEN
22	OPEN
21	OPEN
20	OPEN
19	OPEN
18	OPEN
17	OPEN
16	OPEN
15	OPEN
14	OPEN
13	OPEN
12	OPEN
11	CLOSED
10	CLOSED
9	CLOSED
8	CLOSED
7	CLOSED
6	CLOSED
5	CLOSED
4	CLOSED
